[22708.0, 22708.0, 'START', 'START']

[22708.0, 22708.0, 'STOP', 'STOP']

[22708.0, 22708.0, 'RESET', 'RESET']

[22708.0, 22708.0, 'RESET', 'RESET']

[22708.0, 22708.0, 'RESET', 'RESET']

[22708.0, 22708.0, 'RESET', 'RESET']

[22709.0, 22709.0, 'STARTANALYSE', 'STARTANALYSE']

[22709.0, 22709.0, 'START', 'START']

[22709.0, 22709.0, 'START', 'START']

[22709.0, 22709.0, 'STOP', 'STOP']

[22710.0, 22710.0, 'CONF', 'CONF']

[22710.0, 22710.0, 'START', 'START']

[22710.0, 22710.0, 'START', 'START']

[22710.0, 22710.0, 'STOP', 'STOP']

[22710.0, 22710.0, 'RESET', 'RESET']

[22710.0, 22710.0, 'RESET', 'RESET']

[22711.0, 22711.0, 'STARTANALYSE', 'STARTANALYSE']

[22711.0, 22711.0, 'START', 'START']

[22711.0, 22711.0, 'START', 'START']

[22711.0, 22711.0, 'FINISH', 'FINISH']

[22711.0, 22711.0, 'RESET', 'RESET']

[22712.0, 22712.0, 'STARTANALYSE', 'STARTANALYSE']

[22712.0, 22712.0, 'START', 'START']

[22712.0, 22712.0, 'START', 'START']

[22712.0, 22712.0, 'FINISH', 'FINISH']

[22712.0, 22712.0, 'RESET', 'RESET']

[22712.0, 22712.0, 'RESET', 'RESET']

[22712.0, 22712.0, 'RESET', 'RESET']

[22712.0, 22712.0, 'RESET', 'RESET']

[22712.0, 22712.0, 'RESET', 'RESET']

[22713.0, 22713.0, 'CONF', 'CONF']
